# header options: offset (assumes 2nd column) add_intercept (bbr format thereafter)
  38  197          
  35  264        
  20  246        
 156 1680          
  63  284       
  84  536     
  89  696     
 400 3582       
  19  133       
  52  286     
  74  355     
 233 1640       
   4   24          
  18   71        
  19   99        
  77  452          
  22   85 1:1        
  19  139 1:1      
  22  151 1:1      
  87  931 1:1        
  25  149 1:1     
  51  313 1:1   
  49  419 1:1   
 290 2443 1:1     
  14   66 1:1     
  46  175 1:1   
  39  221 1:1   
 143 1110 1:1     
   4    9 1:1        
  15   48 1:1      
  12   72 1:1      
  53  322 1:1        
   5   35 2:1        
  11   73 2:1      
  10   89 2:1      
  67  648 2:1        
  10   53 2:1     
  24  155 2:1   
  37  240 2:1   
 187 1635 2:1     
   8   24 2:1     
  19   78 2:1   
  24  121 2:1   
 101  692 2:1     
   3    7 2:1        
   2   29 2:1      
   8   43 2:1      
  37  245 2:1        
   2   20 3:1        
   5   33 3:1      
   4   40 3:1      
  36  316 3:1        
   7   31 3:1     
  10   81 3:1   
  22  122 3:1   
 102  724 3:1     
   5   18 3:1     
   7   39 3:1   
  16   68 3:1   
  63  344 3:1     
   0    3 3:1        
   6   16 3:1      
   8   25 3:1      
  33  114 3:1       
