header
1,4.0000,1,0.8147,0.6557,0.4387,0.7513
2,8.0000,1,0.9058,0.0357,0.3816,0.2551
3,6.0000,1,0.1270,0.8491,0.7655,0.5060
4,5.0000,1,0.9134,0.9340,0.7952,0.6991
5,9.0000,1,0.6324,0.6787,0.1869,0.8909
6,3.0000,1,0.0975,0.7577,0.4898,0.9593
7,8.0000,1,0.2785,0.7431,0.4456,0.5472
8,8.0000,1,0.5469,0.3922,0.6463,0.1386
9,4.0000,1,0.9575,0.6555,0.7094,0.1493
10,6.0000,1,0.9649,0.1712,0.7547,0.2575
11,1.0000,1,0.1576,0.7060,0.2760,0.8407
12,1.0000,1,0.9706,0.0318,0.6797,0.2543
13,5.0000,1,0.9572,0.2769,0.6551,0.8143
14,8.0000,1,0.4854,0.0462,0.1626,0.2435
15,9.0000,1,0.8003,0.0971,0.1190,0.9293
16,1.0000,1,0.1419,0.8235,0.4984,0.3500
17,6.0000,1,0.4218,0.6948,0.9597,0.1966
18,5.0000,1,0.9157,0.3171,0.3404,0.2511
19,0.0000,1,0.7922,0.9502,0.5853,0.6160
20,3.0000,1,0.9595,0.0344,0.2238,0.4733
