header
1,0,1,1,1,1,127
2,0,1,1,1,2,63
3,3,1,1,2,1,1095
4,4,1,1,2,2,1095
5,6,1,1,3,1,1512
6,18,1,1,3,2,3353
7,11,1,1,4,2,2244
8,39,1,2,1,1,44882
9,29,1,2,1,2,17176
10,58,1,2,2,1,28609
11,53,1,2,2,2,20370
12,12,1,2,3,1,7064
13,44,1,2,3,2,13099
14,18,1,2,4,2,7117
15,1,1,3,1,1,1179
16,1,1,3,1,2,552
17,0,1,3,2,1,781
18,1,1,3,2,2,676
19,6,1,3,3,1,783
20,2,1,3,3,2,1948
21,1,1,3,4,2,274
22,0,1,4,1,1,251
23,0,1,4,1,2,105
24,0,1,4,2,1,288
25,0,1,4,2,2,192
26,2,1,4,3,1,349
27,11,1,4,3,2,1208
28,4,1,4,4,2,2051
29,0,1,5,1,1,45
30,7,1,5,2,1,789
31,7,1,5,2,2,437
32,5,1,5,3,1,1157
33,12,1,5,3,2,2161
34,1,1,5,4,2,542
