header
1,8,1,1,1,1,0.50,1.14
2,21,1,1,1,2,1.14,0.73
3,42,1,1,1,3,0.90,0.67
4,51,1,1,1,4,0.73,0.48
5,12,1,1,2,1,1.17,1.06
6,27,1,1,2,2,0.85,1.59
7,39,1,1,2,3,1.05,0.73
8,51,1,1,2,4,0.69,0.54
9,62,1,1,3,1,0.97,0.88
10,102,1,1,3,2,0.96,0.81
11,107,1,1,3,3,0.97,0.80
12,47,1,1,3,4,0.74,0.59
13,10,1,2,1,1,3.10,1.66
14,30,1,2,1,2,2.67,0.99
15,24,1,2,1,3,2.04,1.87
16,22,1,2,1,4,1.73,0.68
17,13,1,2,2,1,4.54,3.44
18,37,1,2,2,2,2.65,1.51
19,44,1,2,2,3,2.68,0.97
20,21,1,2,2,4,2.29,0.81
21,70,1,2,3,1,2.44,1.93
22,117,1,2,3,2,2.71,1.36
23,81,1,2,3,3,2.47,1.30
24,21,1,2,3,4,2.24,1.19
25,12,1,3,1,1,4.08,1.72
26,27,1,3,1,2,3.67,2.31
27,20,1,3,1,3,2.90,1.57
28,12,1,3,1,4,2.00,1.82
29,18,1,3,2,1,4.17,2.97
30,43,1,3,2,2,3.33,2.99
31,29,1,3,2,3,3.62,1.96
32,15,1,3,2,4,3.33,1.52
33,88,1,3,3,1,4.14,3.52
34,132,1,3,3,2,4.14,3.31
35,50,1,3,3,3,3.94,3.28
36,9,1,3,3,4,3.33,2.50
37,14,1,4,1,1,4.21,2.03
38,31,1,4,1,2,4.94,1.46
39,13,1,4,1,3,3.15,0.81
40,4,1,4,1,4,2.75,0.92
41,23,1,4,2,1,4.70,7.40
42,42,1,4,2,2,5.36,2.97
43,20,1,4,2,3,4.60,3.83
44,5,1,4,2,4,3.80,0.70
45,114,1,4,3,1,5.06,4.91
46,86,1,4,3,2,5.59,3.23
47,30,1,4,3,3,4.50,3.29
48,1,1,4,3,4,2.00,0.00
49,21,1,5,1,1,5.62,4.15
50,18,1,5,1,2,5.06,4.64
51,12,1,5,1,3,3.92,4.08
52,5,1,5,1,4,2.60,4.30
53,22,1,5,2,1,5.36,7.19
54,25,1,5,2,2,5.88,4.44
55,13,1,5,2,3,5.00,4.33
56,3,1,5,2,4,5.33,0.33
57,117,1,5,3,1,6.46,8.20
58,68,1,5,3,2,6.34,5.72
59,23,1,5,3,3,5.74,5.20
60,2,1,5,3,4,2.50,0.50
61,47,1,6,1,1,6.60,12.40
62,27,1,6,1,2,6.74,11.66
63,8,1,6,1,3,5.38,4.27
64,1,1,6,1,4,2.00,0.00
65,46,1,6,2,1,6.52,11.45
66,45,1,6,2,2,7.51,10.53
67,13,1,6,2,3,7.54,12.60
69,195,1,6,3,1,7.48,11.34
70,59,1,6,3,2,7.81,7.57
71,10,1,6,3,3,5.80,7.07
